conditionTrigger | Attack-RFB-HQ
conditiondDate | 
conditionPeriod | 
conditionDeath | 
conditionOccasion | 
conditionStatus | 
conditionKampfbund | SA+
conditionPolitical | 
conditionActivism | 
usedMax | 1
captionText | 
mainText | Большевики не успели толком сообразить, что происходит как Ваш отряд уже скрылся, оставив после себя разгромленное вражеское логово и избитых «коци», которым не посчастливилось оказаться там во время Вашего «визита».@@@В качестве «прощального подарка» штурмовики разрисовали стены еврейско-марксистского притона свастиками.
quotationAuthor | 
pictureName | sa-kampf-szene.jpg
effectMoney | 
effectJob | 
effectStatus | 
effectTrigger | 
