conditionTrigger | Beat-Kozi-Final
conditiondDate | 
conditionPeriod | 
conditionDeath | death-
conditionOccasion | 
conditionStatus | 
conditionKampfbund | 
conditionPolitical | 
conditionActivism | 
usedMax | 1
captionText | 
mainText | Тому «большевику» хорошо досталось. Но скорее всего выживет.@@@Местное руководство «Шта» высоко оценило проведённую Вами «скрытую спецоперацию» да и товарищ-фабрикант не остался в долгу.
quotationAuthor | 
pictureName | 33931706_6_l.jpg
effectMoney | 
effectJob | 
effectStatus | 
effectTrigger | 
