conditionTrigger | Disloyal-philistine
conditiondDate | 
conditionPeriod | 
conditionDeath | death-
conditionOccasion | 
conditionStatus | 
conditionKampfbund | 
conditionPolitical | 
conditionActivism | activist+
usedMax | 1
captionText | После 1933 года
mainText | Вы никогда не были сторонником нацистского режима, но что могли сделать? С началом войны удалось избежать призыва, получив бронь на военном заводе, где Вы работали. Пережив бомбёжки, капитуляцию и оккупацию Германии союзниками, обнаружили себя проживающим на территории новосозданной ГДР. Не всё в ней было идеально, но после мрака нацистской диктатуры и войны социалистическая Германия казалась страной, где можно жить, поэтому Вы включились в общественную деятельность, вступили в СЕПГ и в результате были избраны ландратом своего района.
quotationAuthor | 
pictureName | Bundesarchiv_Bild_183-09117-005,_Grundsteinlegung_im_Huttenkombinat_Ost.jpg
effectMoney | 
effectJob | 
effectStatus | 
effectTrigger | The-End
