conditionTrigger | Jungstahlhelm-continue
conditiondDate | 
conditionPeriod | 
conditionDeath | 
conditionOccasion | 
conditionStatus | 
conditionKampfbund | 
conditionPolitical | 
conditionActivism | 
usedMax | 1
captionText | Юнгштальхельм
mainText | Наиболее успешной среди подобных организаций был «Стальной шлем» с его молодёжным подразделением «Юнгштальхельм» (Jungstahlhelm – «Молодой Стальной шлем»), созданным в октябре 1923 года для 18-24-летних юношей и быстро ставший крупнейшей по количеству членов молодёжной организацией среди подобных националистических организаций содействия национальной обороне. Однако консервативный «Стальной шлем» отвергал новомодный культ молодости и требовал от юношей подчинения строгой субординации. Соответственно, «Юнгштальхельм» был не независимой организацией, а инструментом в претензиях «Стального шлема» на национальное лидерство. В дальнейшем «Юнгштальхельм» ослабляло бегство многих его членом в СА, так как антикапиталистическая риторика нацистского движения была успешней чем буржуазный элитаризм «Стального шлема». В своих спортивных школах «Юнгштальхельм» фокусировался на «военном спорте»: приучение к военному порядку, марши с полной выкладкой, чтение карт, игры на местности, окапывание и создание-уничтожение полевых заграждений.
quotationAuthor | 
pictureName | 1081427_Postkarte Jungstahlhelm Magdeburg, Gasschutzmasken, Modell Draeger_1.jpg
effectMoney | 
effectJob | 
effectStatus | 
effectTrigger | 
