conditionTrigger | Kandidat-Hindenburg
conditiondDate | 
conditionPeriod | 
conditionDeath | 
conditionOccasion | 
conditionStatus | 
conditionKampfbund | 
conditionPolitical | 
conditionActivism | 
usedMax | 1
captionText | 
mainText | Однако, после уговоров гросс-адмирала Альфреда фон Тирпица, который апеллировал к долгу перед страной в это сложное время, и консультаций с экс-кайзером, "благословившим" своего фельдмаршала на сие начинание, 6 апреля Пауль фон Гинденбург дал согласие на своё выдвижение, и 8 апреля было официально объявлено, что именно он будет представлять «Имперский блок» во втором туре президентских выборов.@@@Стоило ожидать, что авторитет прославленного фельдмаршала у многих избирателей из числа сторонников «Веймарской коалиции» может взять вверх над партийными симпатиями, поэтому «республиканцы» старались максимально усилить поддержку своего кандидата, агитируя сторонников «левых» лозунгом «голос за Тельмана — это голос за Гинденбурга», то есть голосовать не за явно «непроходного» кандидата коммунистов, а против кандидата правых Гинденбурга, поддержав центриста Маркса.@@@Однако Коммунистическая партия, вопреки рекомендации Исполкома Коминтерна (ИККИ), 11 апреля приняла решение вновь выставить собственного кандидата Эрнста Тельмана.
quotationAuthor | 
pictureName | Bild0710_Inflations-Gegner waehle nur Marx.jpg
effectMoney | 
effectJob | 
effectStatus | 
effectTrigger | 
