conditionTrigger | Loyal-philistine
conditiondDate | 
conditionPeriod | 
conditionDeath | death-
conditionOccasion | 
conditionStatus | 
conditionKampfbund | 
conditionPolitical | 
conditionActivism | 
usedMax | 1
captionText | После 1933 года
mainText | Вы с энтузиазмом и надеждой восприняли провозглашённую немецкими националистами и национал-социалистами «национальную революцию». Консолидация и укрепление государственной власти, конец драк на улицах и политических дрязг, переход от партийной раздробленности к единой нации – всё это находило у Вас только безусловное одобрение. Уже всё это казалось великим достижением, но дальше было ещё лучше: укрощение бунтарских элементов в СА, возрождение армии, экономический подъём, «Сила через радость» и – наконец-то! – воссоединение Австрии и Судет.@@@Но, как Вы читали в газетах, враждебные государства, не желая допустить усиления Германии, плели свои интриги и, в конце концов, развязали новую войну, поэтому Вам, как и миллионам фронтовых товарищей, снова пришлось стать в строй.@@@Первые годы немецкие войска одерживали победу за победой, но потом фортуна отвернулась от Германии…@@@В 1947 году Вы вернулись из лагеря для военнопленных и начали понемногу обустраиваться в новой жизни – среди руин и оккупационных войск – стараясь как можно меньше интересоваться политикой.
quotationAuthor | 
pictureName | Bundesarchiv_Bild_183-V00294-3,_Hamburg,_Ruinen_zerstoerter_Gebaeude.jpg
effectMoney | 
effectJob | 
effectStatus | 
effectTrigger | The-End
