conditionTrigger | Neutral-philistine
conditiondDate | 
conditionPeriod | 
conditionDeath | death-
conditionOccasion | 
conditionStatus | 
conditionKampfbund | 
conditionPolitical | 
conditionActivism | 
usedMax | 1
captionText | 
mainText | Назначение кабинета Гитлера и взятие власти национал-социалистами Вы восприняли достаточно равнодушно: за последние пару лет повидали и социал-демократические, и правоцентристские, и национал-консервативные правительства, почему бы теперь не попробовать счастья и «наци»? В последний год кабинеты и рейхсканцлеры вообще менялись один за другим, так что вряд ли «правительство национальной концентрации» задержится надолго.@@@Неожиданно ситуация действительно начала меняться. С одной стороны, полицию и улицы наводнили неуправляемые ватаги штурмовиков, были ликвидированы профсоюзы и все партии кроме НСДАП, закрывались «левые» газеты. Но с другой – полностью прекратились уличные баталии между политическими противниками, установилось нечто наподобие национального единства. Понемногу начала улучшаться экономическая ситуация. Германия мирным путём избавлялась от цепей Версальского диктата.@@@Начало войны Вы восприняли с фаталистическим спокойствием, конечно же, ничего подобного «духу 1914 года» не было. Дальше – призыв и Восточный фронт. Многое из того, что там было, стоило бы забыть.@@@Но Вы выжили. Это главное. Германия разгромлена, разорвана на части и лежит в руинах, но жизнь продолжается. Вы стараетесь верить в лучшее.
quotationAuthor | 
pictureName | Kampagne der SPD gegen Wiederbewaffnung 1953 - 1955..JPG
effectMoney | 
effectJob | 
effectStatus | 
effectTrigger | The-End
