conditionTrigger | RB-Republic-defender
conditiondDate | 
conditionPeriod | 
conditionDeath | 
conditionOccasion | 
conditionStatus | 
conditionKampfbund | 
conditionPolitical | 
conditionActivism | 
usedMax | 1
captionText | Рейхсбаннер
mainText | Устав «Рейхсбаннера» провозглашал: «Организация стремится пробуждать и взращивать дух товарищества и республиканских убеждений; защищать конституцию Рейха и конституции земель; и предоставить себя в распоряжение республиканского правительства и властей в случае необходимости». Как изначально было задумано Хёрсингом, «Рейхсбаннер» представлял непартийного республиканского двойника «Стального шлема», гитлеровских СА и ряда прочих правых союзов (также как и коммунистического «Рот-Фронта»); это была, так сказать, попытка «бороться с огнём с помощью огня». В основе своей – как и его противники – ветеранская организация, республиканский боевой союз оказывал бы поддержку государственным и муниципальным режимам, которым угрожали антиреспубликанские силы, и тем самым создавал бы вспомогательные силы полиции в чрезвычайной ситуации.  «Рейхсбаннер» сам не провоцировал правые группы, так как им должно было демонстрироваться республиканское моральное превосходство. Отказываясь от каких-то конкретных политических и экономических целей, «Рейхсбаннер» всё же заботился об улучшении условий для ветеранов.
quotationAuthor | 
pictureName | Bundesarchiv_Bild_102-00773,_Potsdam,_Kundgebung_des_Reichsbanners.jpg
effectMoney | 
effectJob | 
effectStatus | 
effectTrigger | 
