conditionTrigger | RB-answer-Waiting
conditiondDate | 
conditionPeriod | 
conditionDeath | 
conditionOccasion | 
conditionStatus | 
conditionKampfbund | 
conditionPolitical | 
conditionActivism | 
usedMax | 1
captionText | 
mainText | Штурмовик иронично улыбнулся: «О да, уже десять лет ждёте, выжидаете. А потом, авось, и привыкнем, да? В общем, если осталась ещё совесть и судьба Германии тебе не безразлична, бросай своих мягкотелых предводителей и иди к нам. Думай!».@@@Нацист сунул Вам в руки партийную газету, остальные СА-манны расступились, давая Вам пройти.@@@«Всё могло закончиться гораздо хуже», – уходя, подумали Вы.
quotationAuthor | 
pictureName | SA-in-Rothenburg-vor-1933_resized.jpg
effectMoney | 
effectJob | 
effectStatus | 
effectTrigger | Nazi-propaganda-RB
