conditionTrigger | RFB-establishment
conditiondDate | 
conditionPeriod | 
conditionDeath | 
conditionOccasion | 
conditionStatus | 
conditionKampfbund | 
conditionPolitical | 
conditionActivism | 
usedMax | 1
captionText | Союз красных фронтовиков
mainText | Несмотря на то, что власти и полиция достаточно лояльно относились к таким националистическим и «патриотическим» военизированным организациям как «Стальной шлем» и к созданному 22 февраля 1924 года преимущественно деятелями СДПГ прореспубликанскому «Союзу имперского флага», «пролетарские сотни» оставались вне закона даже после снятия 1 марта 1924 года запрета с КПГ.@@@Кровавые столкновениям 11 мая 1924 года в Галле между полицией и коммунистическими демонстрантами, протестующими против проведения националистическими союзами «Немецкого дня», были использованы КПГ как повод для создания «Союза красных фронтовиков» (Roter Frontkaempferbund). Первые местные группы были созданы в Саксонии и Тюрингии в июле 1924 года. Руководителем союза стал Эрнст Тельман.
quotationAuthor | 
pictureName | 21103600430.jpg
effectMoney | 
effectJob | 
effectStatus | 
effectTrigger | RFB-evolution
