conditionTrigger | Reichspraesidentenwahl-1925-1
conditiondDate | 
conditionPeriod | 
conditionDeath | 
conditionOccasion | 
conditionStatus | 
conditionKampfbund | 
conditionPolitical | 
conditionActivism | 
usedMax | 1
captionText | –езультаты первого тура выборов
mainText |  арл яррес (»мперский блок) Ц 38,8%@@@ќтто Ѕраун (—ƒѕ√) Ц 29,0%@@@¬ильгельм ћаркс (÷ентр) Ц 14,4%@@@Ёрнст “ельман ( ѕ√) Ц 7,0%@@@¬илли √ельпах (Ќƒѕ) Ц 5,8%@@@√енрих √ельд (ЅЌѕ) Ц 3,8%@@@Ёрих Ћюдендорф (фЄлькиш) Ц 1,0%@@@явка избирателей составила 68%.@@@Ќи один из кандидатов не набрал абсолютного большинства голосов, поэтому в первом туре новый рейхспрезидент избран не был.
quotationAuthor | 
pictureName | 
effectMoney | 
effectJob | 
effectStatus | 
effectTrigger | 
