conditionTrigger | Roehm-Putsch
conditiondDate | 
conditionPeriod | 
conditionDeath | death+
conditionOccasion | 
conditionStatus | 
conditionKampfbund | 
conditionPolitical | 
conditionActivism | activist+
usedMax | 1
captionText | После 1933 года
mainText | Ваша карьера в СА пошла в гору, но всё закончилось уже через год, когда во время так называемого "путча Рёма" Вы оказались в числе расстреляных без суда и следствия руководителей СА.
quotationAuthor | 
pictureName | f6hhwxkpqquawt4yiilx_roehm_putsch.jpg
effectMoney | 
effectJob | 
effectStatus | 
effectTrigger | The-End
