conditionTrigger | Roehm-Putsch
conditiondDate | 
conditionPeriod | 
conditionDeath | death-
conditionOccasion | 
conditionStatus | 
conditionKampfbund | 
conditionPolitical | 
conditionActivism | activist-
usedMax | 1
captionText | После 1933 года
mainText | После расправы с руководством СА в июне 1934 года Вы довольствовались должностью руководителя по допризывной подготовке молодёжи в рядах СА в своём округе. Зимой 1945 года Вас назначили командиром батальона местного фольксштурма. В ходе боёв попали в советский плен, благополучно пережили его и впоследствии перебрались в Западную Германию, где тихо и мирно прожили до глубокой старости.
quotationAuthor | 
pictureName | d2a09513.jpg
effectMoney | 
effectJob | 
effectStatus | 
effectTrigger | The-End
