conditionTrigger | Ruhr-Rote-Armee-1920
conditiondDate | 
conditionPeriod | 
conditionDeath | death+
conditionOccasion | 
conditionStatus | 
conditionKampfbund | 
conditionPolitical | 
conditionActivism | 
usedMax | 1
captionText | 
mainText | Вы погибли во время кровавого подавления Красного Рура контрреволюционными наёмниками крупного капитала.
quotationAuthor | 
pictureName | Bundesarchiv_Bild_146-1978-029-31,_Buergerkrieg,_Moellen_Blutiger Buergerkrieg — Karfreitag 1920. Am Bahndamm in Moellen. Oben Noske, unten erschossene Rotarmisten.jpg
effectMoney | 
effectJob | 
effectStatus | 
effectTrigger | The-End
