conditionTrigger | Ruhr-Rote-Armee-1920
conditiondDate | 
conditionPeriod | 
conditionDeath | death+
conditionOccasion | 
conditionStatus | 
conditionKampfbund | 
conditionPolitical | 
conditionActivism | 
usedMax | 1
captionText | 
mainText | 2 апреля рейхсвер при поддержке фрайкоров (в том числе и ещё недавно выступавших против законного правительства на стороне путчистов, таких как Морская бригада фон Лёвенфельда и Морская бригада Эрхардта) вступил на территорию Рурской области для подавления восстания. Боевые действия сопровождались смертными приговорами и массовыми расстрелами, несмотря на запрет на самочинные расправы рейхспрезидента Эберта от 3 апреля. К 8 апреля восстание было в основном подавлено. @@@Вы были захвачены в плен фрайкоровцами и расстреляны на месте без суда.
quotationAuthor | 
pictureName | Bundesarchiv_Bild_146-1978-029-31,_Buergerkrieg,_Moellen_Blutiger Buergerkrieg — Karfreitag 1920. Am Bahndamm in Moellen. Oben Noske, unten erschossene Rotarmisten.jpg
effectMoney | 
effectJob | 
effectStatus | 
effectTrigger | The-End
