conditionTrigger | SA-kill-RB-Jude-Consist
conditiondDate | 
conditionPeriod | 
conditionDeath | 
conditionOccasion | 
conditionStatus | 
conditionKampfbund | 
conditionPolitical | 
conditionActivism | 
usedMax | 1
captionText | 
mainText | Штурмфюрер Хайнес засиял: «Прекрасно! Я знал, что на Вас можно рассчитывать, товарищ! Переговорите о деталях с шарфюрером Бёттхером, он также снабдит Вас оружием».
quotationAuthor | 
pictureName | 3208c0110f13e3fa55b75631e2e794b8_Edmund Heines.jpg
effectMoney | 
effectJob | 
effectStatus | 
effectTrigger | SA-kill-RB-Jude-Execution
