conditionTrigger | SA-kill-RB-Jude-Execution-Final
conditiondDate | 
conditionPeriod | 
conditionDeath | death+
conditionOccasion | 
conditionStatus | 
conditionKampfbund | 
conditionPolitical | 
conditionActivism | 
usedMax | 1
captionText | 
mainText | Но пистолет дал осечку: застрял патрон. Еврей-«рейхсбанан», видимо, что-то подозревал, поэтому был наготове и носил с собой пистолет. Он разрядил всю обойму прежде чем Вы успели что-либо сделать. Полиция подтвердила, что это была вынужденная самооборона.@@@На Ваших торжественных похоронах штурмфюрер Хайнес произнёс проникновенную речь об убийстве евреями немецких патриотов.
quotationAuthor | 
pictureName | Bundesarchiv_Bild_146-1980-119-18,_Eberswalde,_Beisetzung_SA_Mann_Schroeder.jpg
effectMoney | 
effectJob | 
effectStatus | 
effectTrigger | The-End
