conditionTrigger | SA-kill-RB-Jude-Refusal
conditiondDate | 
conditionPeriod | 
conditionDeath | 
conditionOccasion | 
conditionStatus | 
conditionKampfbund | 
conditionPolitical | 
conditionActivism | 
usedMax | 1
captionText | 
mainText | Штурмфюрер Хайнес поджал губы: «Жаль, значит, я в Вас ошибался. Забудьте этот разговор».@@@Вы молчали кивнули, попрощались, вскинув руку в «немецком приветствии», и ушли восвояси.
quotationAuthor | 
pictureName | 3208c0110f13e3fa55b75631e2e794b8_Edmund Heines.jpg
effectMoney | 
effectJob | 
effectStatus | 
effectTrigger | 
