conditionTrigger | SS
conditiondDate | 
conditionPeriod | 
conditionDeath | death+
conditionOccasion | 
conditionStatus | 
conditionKampfbund | 
conditionPolitical | 
conditionActivism | activist+
usedMax | 1
captionText | После 1933 года
mainText | Вскоре после прихода НСДАП к власти Вы вступили в СС, где служили в частях охраны концентрационных лагерей для политических заключённых. За усердную службу повышение следовало за повышением.@@@После начала войны назначили комендантом одного из лагерей в Генерал-губернаторстве, где Вы беспрекословно и старательно выполняли указания высшего руководства, повторяя при случае, что «Прежде всего, мы должны слушать фюрера, а не философствовать».@@@После поражения Германии пытались скрыться, но были арестованы в Шлезвиг-Гольштейне англичанами и выданы польским властям.@@@Повешены по приговору трибунала в апреле 1947 года.
quotationAuthor | 
pictureName | 400.jpg
effectMoney | 
effectJob | 
effectStatus | 
effectTrigger | The-End
