conditionTrigger | SS
conditiondDate | 
conditionPeriod | 
conditionDeath | death+
conditionOccasion | 
conditionStatus | 
conditionKampfbund | 
conditionPolitical | 
conditionActivism | activist-
usedMax | 1
captionText | После 1933 года
mainText | Вы с энтузиазмом и надеждой восприняли провозглашённую немецкими националистами и национал-социалистами «национальную революцию». Консолидация и укрепление государственной власти, конец драк на улицах и политических дрязг, переход от партийной раздробленности к единой нации – всё это находило у Вас только безусловное одобрение. Уже всё это казалось великим достижением, но дальше было ещё лучше: укрощение бунтарских элементов в СА, возрождение армии, экономический подъём, «Сила через радость» и – наконец-то! – воссоединение Австрии и Судет.@@@Но, как Вы читали в газетах, враждебные государства, не желая допустить усиления Германии, плели свои интриги и, в конце концов, развязали новую войну, поэтому Вам, как и миллионам фронтовых товарищей, снова пришлось стать в строй.@@@Первые годы немецкие войска одерживали победу за победой, но потом фортуна отвернулась от Германии. Не повезло и Вам: «Цитадель Сталинград» стала для Вас ледяной могилой.
quotationAuthor | 
pictureName | redkie-istoricheskie-foto-14.jpg
effectMoney | 
effectJob | 
effectStatus | 
effectTrigger | The-End
