conditionTrigger | STA-Jungstahlhelm
conditiondDate | 
conditionPeriod | 
conditionDeath | 
conditionOccasion | 
conditionStatus | 
conditionKampfbund | 
conditionPolitical | 
conditionActivism | 
usedMax | 1
captionText | Стальной шлем
mainText | Вместе с тем, «Стальной шлем» столкнулся с серьёзными препятствиями привлечению новых членов. Одной из них было отсутствие молодёжной организации. После неудачных попыток сотрудничества с независимыми молодёжными организациями в октябре 1923 года был создан «Юнгштальхельм» (Jungstahlhelm). Это открыло дорогу к превращению ветеранской организации в политизированный боевой союз, ряды которого умножились после смягчения требований к новым членам организации. Численность «Стального шлема» в том году выросла до почти что 500 000 человек. И хотя руководство «Стального шлема» всё так же состояло из людей, стоявших у истоков организации (в большинстве своём – бывших старших офицеров), она стала приобретать несколько буржуазно-консервативный характер. Политические лозунги «Стального шлема» были амбициозными, но весьма слабыми в идеологическом плане и непоследовательными. Они были плодом компромисса между огромным числом участников организации и скорее уж были реакционными чем революционными. Эта тенденция снижала привлекательность «Стального шлема» в глазах молодёжи.
quotationAuthor | 
pictureName | Eydtkau-Jungstahlhelm.jpg
effectMoney | 
effectJob | 
effectStatus | 
effectTrigger | 
