conditionTrigger | STA-Organisation-growth
conditiondDate | 
conditionPeriod | 
conditionDeath | 
conditionOccasion | 
conditionStatus | 
conditionKampfbund | 
conditionPolitical | 
conditionActivism | 
usedMax | 1
captionText | Стальной шлем
mainText | В то время как первоначальная организация в Магдебурге значительно разрослась, в Галле-на-Заале в августе 1919 года была создана вторая ячейка. Вскоре возникли и другие подразделения в Северной Германии. В сентябре 1919 (на тот момент численность «Стального шлема» составляла 2000 участников) была создана общенациональная организация, Франц Зельдте стал её руководителем. В марте 1920 года было уже 30 региональных групп. К июню 1921 года их число возросло до 63, а в декабре до 300. В июне 1922 года «Стальной шлем» заявлял о 500 группах, организованных в 16 гау (областях) в Северной Германии.@@@В том же месяце «Стальной шлем» столкнулся с серьёзными проблемами. Убийство рейхсминистра иностранных дел Вальтер Ратенау боевиками праворадикальной организации «Консул», бывшими младшими офицерами, вызвало в обществе волну гнева против правых, а особенно – их военизированных организаций. Руководство «Стального шлема» поспешило издать заявление с осуждением убийства Ратенау, но особого толку от него не было – вместе с рядом схожих организаций «Стальной шлем» был запрещён приказом прусского министра внутренних дел Карла Зеверинга (СДПГ) в начале августа. Запрет «Стального шлема», снятый через 8 месяцев, однако не остановил дальнейший рост организации. Весной 1923 года насчитывалось уже 1200 местных групп и их число продолжало расти.
quotationAuthor | 
pictureName | Fahnenkompanie des Stahlhelm beim Deutschen Tag in Halle 1924.jpg
effectMoney | 
effectJob | 
effectStatus | 
effectTrigger | STA-Jungstahlhelm
