conditionTrigger | Schufo-history0
conditiondDate | 
conditionPeriod | 
conditionDeath | 
conditionOccasion | 
conditionStatus | 
conditionKampfbund | 
conditionPolitical | 
conditionActivism | 
usedMax | 1
captionText | Кризис "Рейхсбаннера"
mainText | К концу 1920-х годов, однако, многопартийный статус «Рейхсбаннера» оказался под большим давлением. Многие «рейхсбаннерманны», связанные с партией Центра, жаловались, что их политические интересы представлены всё меньше и меньше в политике организации, в то время как в Берлине члены «Рейхсбаннера» надеялись превратить его в чисто социалистическую организацию. Весной 1930 года конфликт между двумя партиями достиг высшей точки накала из-за урезания канцлером Брюнингом (Центр) социальных программ. Шли разговоры о том, чтобы распустить организацию вообще или же просто перестроить её в сугубо социал-демократический «боевой союз» (Kampfbund). В конечном счёте, исполнительный совет «Рейхсбаннера» принял решение, что организация сохранит свой многопартийный статус. Это решение не удовлетворило никого. Партия Центра продолжала критиковать поддержку, проявляемую «Рейхсбаннером» предвыборным кампаниям и акциям СДПГ, а в Берлине многие члены СДПГ чувствовали, что связи союза с правительством Брюнинга не позволяли им конкурировать с антифашистскими группами коммунистических организаций и нацистскими СА, выступая с призывами к переменам.
quotationAuthor | 
pictureName | Bundesarchiv_Bild_102-05973,_Brandenburg-Havel,_Reichsbanner-Gautag.jpg
effectMoney | 
effectJob | 
effectStatus | 
effectTrigger | Schufo-history1
