conditionTrigger | 11-November-1918
conditiondDate | 
conditionPeriod | 
conditionDeath | 
conditionOccasion | 
conditionStatus | 
conditionKampfbund | 
conditionPolitical | 
conditionActivism | 
usedMax | 1
captionText | 11 ноября 1918 года
mainText | На следующее утро мы в последний раз лежим на передовой. Стрельбы почти не слышно. Война кончилась. Через час нам сниматься. Сюда нам никогда больше не придется вернуться. Если мы уйдем, мы уйдем навсегда. @@@Мы разрушаем все, что еще можно разрушить. Жалкие остатки. Несколько окопов. Затем приходит приказ об отходе. @@@Странный миг. Мы стоим друг подле друга и смотрим вдаль. Легкие клубы тумана стелются по земле. Ясно видны линии воронок и окопов. Правда, это только последние линии, запасные позиции, но все же и это — зона огня. Как часто шли мы вот этим подземным ходом на передовые, и как часто лишь немногие возвращались обратно. Перед нами серый, унылый пейзаж, вдали остатки рощицы, несколько пней, развалины деревни, среди них каким-то образом уцелевшая каменная стена. @@@— Да, — задумчиво говорит Бетке, — четыре года просидели здесь... @@@— Да, да, черт возьми! — подхватывает Козоле. — И вот так просто все кончено. @@@— Эх, ребята! — Вилли Хомайер прислонился к насыпи. — Странно все это, а? @@@Мы не в силах отвести глаза. Ферма, остатки леса, холмы, эти линии там, на горизонте, — все это было страшным миром и мучительной жизнью. А теперь, как только мы повернемся и пойдем, они попросту останутся позади и с каждым нашим шагом будут все больше и больше погружаться в небытие и через час сгинут, словно никогда и не были. Кто поймет это? @@@Вот мы стоим здесь; нам бы смеяться и реветь от радости, а у нас какое-то нудное ощущение в животе: точно веника наелся, и вот-вот вырвет. @@@Слова наши бессвязны. Людвиг Брайер устало прислонился к краю окопа и поднимает руку, будто перед ним человек, которому он хочет помахать на прощание. 
quotationAuthor | Эрих Мария Ремарк «Возвращение»
pictureName | 
effectMoney | 
effectJob | 
effectStatus | 
effectTrigger | 
