conditionTrigger | Brudermoerder-continue
conditiondDate | 
conditionPeriod | 
conditionDeath | 
conditionOccasion | 
conditionStatus | 
conditionKampfbund | 
conditionPolitical | 
conditionActivism | 
usedMax | 1
captionText | 
mainText | … С минуту он молчит, уставясь куда-то в пространство. Я украдкой смотрю на него. Нервное, издерганное лицо, под глазами залегли глубокие тени. Рахе делает над собой усилие и продолжает:@@@– В конце концов, почему бы мне не сказать тебе, Эрнст?.. Не сказать того, о чем я немало думал и передумывал? Однажды нам пришлось выступить. Лозунг был: поход против коммунистов. И вот, когда я увидел убитых рабочих, большинство из которых не успело еще снять свои старые солдатские куртки и сапоги, когда я увидел наших прежних фронтовых товарищей, во мне что-то надломилось. На фронте я однажды уничтожил с аэроплана добрую половину роты англичан, и мне это ничего не стоило, – на войне, как на войне. Но эти убитые наши товарищи, здесь – в Германии, павшие от пуль своих же прежних товарищей, – это конец, Эрнст!@@@Я вспоминаю о Вайле и Хееле и молча киваю в ответ...
quotationAuthor | Эрих Мария Ремарк «Возвращение»
pictureName | wr_mutter.jpg
effectMoney | 
effectJob | 
effectStatus | 
effectTrigger | Brudermoerder-final
