conditionTrigger | Brudermoerder-final
conditiondDate | 
conditionPeriod | 
conditionDeath | 
conditionOccasion | 
conditionStatus | 
conditionKampfbund | 
conditionPolitical | 
conditionActivism | 
usedMax | 1
captionText | 
mainText | … Над нами запел зяблик. Солнце садится, сгущая золото своих лучей. Рахе покусывает сигарету:@@@– Да, а потом еще: у нас вдруг исчезло двое солдат. Они якобы собирались разгласить местонахождение одного из складов оружия. И вот их же товарищи, не расследовав дела, убили их ночью, в лесу, прикладами. Это называлось: «тайное судилище». Один из убитых был у меня на фронте унтер-офицером. Душа парень! После этой истории я все послал к черту. – Рахе смотрит на меня. – Вот что осталось от прежнего, Эрнст… А тогда – тогда, вспомни, как мы шли воевать, вспомни, что это был за порыв, что за буря! – Он бросает сигарету на землю. – Черт возьми, куда все девалось?@@@Немного погодя он тихо прибавляет:@@@– Хотелось бы мне знать, Эрнст, как могло все это так выродиться?
quotationAuthor | Эрих Мария Ремарк «Возвращение»
pictureName | 
effectMoney | 
effectJob | 
effectStatus | 
effectTrigger | 
