conditionTrigger | Brudermoerder
conditiondDate | 
conditionPeriod | 
conditionDeath | 
conditionOccasion | 
conditionStatus | 
conditionKampfbund | 
conditionPolitical | 
conditionActivism | 
usedMax | 1
captionText | 
mainText | – Я давно не видел тебя, Георг, – говорю я. – Где ты был все это время?@@@Он как-то неопределенно машет рукой:@@@– Несколько профессий испробовал…@@@– Разве ты ушел из армии?@@@– Да, – коротко отрезает он. @@@...Рахе поднимает глаза:@@@– Я думал, Эрнст, что найду там остатки солдатской дружбы. Но нашел лишь слепое чувство стадности, карикатурный призрак войны. Эти люди вообразили, что, припрятав две-три дюжины винтовок, они спасут отечество; нищие офицеры, не нашедшие себе иного занятия, кроме усмирения всяких беспорядков; вечные наемники, потерявшие всякую связь с жизнью и просто пугающиеся мысли о возвращении в мирную обстановку; последний, самый твердый шлак войны – вот что представляла собой эта армия. В этой массе – два-три идеалиста и кучка любопытных мальчуганов, жаждущих приключений. И все это – загнанное, обозленное, отчаявшееся и все вокруг себя подозревающее. Да, а потом еще…@@@
quotationAuthor | Эрих Мария Ремарк «Возвращение»
pictureName | Череп_кости.Броневик_отряд_подавл._револ._в_Германии_1919.jpg
effectMoney | 
effectJob | 
effectStatus | 
effectTrigger | Brudermoerder-continue
