conditionTrigger | Emigrant-activist-Final
conditiondDate | 
conditionPeriod | 
conditionDeath | 
conditionOccasion | 
conditionStatus | 
conditionKampfbund | 
conditionPolitical | 
conditionActivism | 
usedMax | 1
captionText | После 1933 года
mainText | Мне трудно описать, чем я только не занимался в те годы.  … Иногда я размышлял и о возможности остаться в Америке. Если бы я заранее знал, что меня ожидает в Европе! И все же эти мысли набегали и уносились, как ветер, они не порождали ни слез, ни отчаяния, ибо я твердо знал, что одно невозможно без другого. Возврата быть не может, ничто не стоит на месте: ни ты сам, ни тот, кто рядом с тобой. Все, что от этого осталось в конце концов, это редкие вечера, полные грусти, — грусти, которую чувствует каждый человек, ибо все преходяще, а он — единственное существо на земле, которое это знает, как знает и то, что в этом — наше утешение. Хотя и не понимает почему.
quotationAuthor | Эрих Мария Ремарк «Тени в раю»
pictureName | 13.jpg
effectMoney | 
effectJob | 
effectStatus | 
effectTrigger | The-End
