conditionTrigger | Emigrant
conditiondDate | 
conditionPeriod | 
conditionDeath | death-
conditionOccasion | 
conditionStatus | 
conditionKampfbund | 
conditionPolitical | 
conditionActivism | activist-
usedMax | 1
captionText | После 1933 года
mainText | У меня не раз появлялось, желание съездить в Верденбрюк, но всегда что-нибудь да задерживало, и я говорил себе, что еще успеется, но вдруг оказалось, что успеть уже нельзя. Германия погрузилась во мрак, я покинул ее, а когда вернулся – она лежала в развалинах. …@@@Город Верденбрюк во время войны так сильно разбомбили, что не уцелело почти ни одного дома. Он был железнодорожной узловой станцией и очень часто подвергался налетам. Я посетил его проездом через год после окончания войны и пробыл в нем всего несколько часов. Искал знакомые улицы, но заплутался в этом городе, где прожил так долго. Кругом были одни развалины, а из прежних знакомых я не нашел никого. В лавчонке, неподалеку от вокзала, я купил несколько открыток с довоенными видами города. Это все, что от него осталось. Раньше, когда человеку хотелось вспомнить свою молодость, он возвращался в те места, где провел ее. Нынче это в Германии уже невозможно. Все было разрушено, потом построено заново, и ничего не узнаешь. Поневоле накупишь открыток.@@@Лишь два здания сохранились в полной неприкосновенности – дом для умалишенных и родильный дом, главным образом потому, что они стоят за чертой города. И они сразу же оказались переполненными, переполнены они и сейчас. Их пришлось даже значительно расширить.
quotationAuthor | Эрих Мария Ремарк «Чёрный обелиск»
pictureName | 
effectMoney | 
effectJob | 
effectStatus | 
effectTrigger | The-End
