conditionTrigger | Emigrant
conditiondDate | 
conditionPeriod | 
conditionDeath | death-
conditionOccasion | 
conditionStatus | 
conditionKampfbund | 
conditionPolitical | 
conditionActivism | activist+
usedMax | 1
captionText | После 1933 года
mainText | Вернувшись в Европу, я столкнулся с теперь уже чуждым мне миром. Музей в Брюсселе стоял на прежнем месте, но никто не мог мне сказать, что произошло там за эти годы. Имя спасшего меня человека еще не было забыто, но никто не знал, что с ним сталось. Мои поиски длились несколько лет. Я искал и в Германии.@@@Я искал убийц своего отца. Порой я с болью думал о Кане: он оказался прав. Самое тяжкое разочарование было связано с возвращением: это было возвращение в чужой мир, к безразличию, к скрытой ненависти и трусости. Никто уже больше не вспоминал о своей принадлежности к партии варваров. Никто не чувствовал себя ответственным за то, что совершил. Я был не единственным человеком, носившим чужое имя. К тому времени появились сотни таких, которые своевременно обменяли паспорта, образовав тем самым эмиграцию убийц. Оккупационные власти были доброжелательны, но довольно беспомощны. Давая справки, им приходилось рассчитывать на немецких сотрудников, которых не мог не мучить страх перед последующей местью и которые всегда думали о кодексе чести, чтобы не замарать собственное гнездо. Я не мог восстановить в памяти лицо человека, который орудовал в крематории; никто не был в состоянии даже припомнить их имен; никто не желал ни вспоминать о преступлениях, ни отвечать за них; многие забывали даже о существовании концентрационных лагерей. Я натолкнулся на молчание, на глухую стену страха и отрицания. Некоторые пытались объяснить это тем, что народ слишком устал. Многие, так же как и я, потеряли своих близких во время войны. Каждый за эти годы многое испытал, о других вроде бы можно было и не заботиться. Немцы не нация революционеров. Они были нацией исполнителей приказов. Приказ заменял им совесть. Это стало их излюбленной отговоркой. Кто действовал по приказу, тот, по их мнению, не нес никакой ответственности.
quotationAuthor | Эрих Мария Ремарк «Тени в раю»
pictureName | 
effectMoney | 
effectJob | 
effectStatus | 
effectTrigger | Emigrant-activist-Final
