conditionTrigger | Ermordung-Rathenaus-continue
conditiondDate | 
conditionPeriod | 
conditionDeath | 
conditionOccasion | 
conditionStatus | 
conditionKampfbund | 
conditionPolitical | 
conditionActivism | 
usedMax | 1
captionText | 
mainText | «...Когда большая машина прошла примерно на половину длины второй машины вперед, и единственный пассажир второй машины посмотрел направо, нет ли там, столкновения, один господин в тонком кожаном пальто наклонился вперед, выхватил длинный пистолет, приклад которого он зажал у себя подмышкой, и направил на господина во второй машине. Ему вовсе не нужно было целиться, это было настолько близко; я смотрел, так сказать, непосредственно ему в глаза. Это было здоровое открытое лицо, как у нас говорят: лицо офицера. Я спрятался, так как выстрелы могли бы и по нам попасть. Тогда выстрелы уже затрещали очень быстро, так же быстро, как у пулемета. – Когда один мужчина закончил стрелять, другой встал, вытащил что-то – это была яйцевидная ручная граната, выдернул чеку и бросил ее в другую машину, совсем близко с которой он проезжал. Еще раньше господин уже осел на своем сиденье и лежал на боку. Теперь шофер остановился, совсем близко от Эрденер штрассе, где была куча мусора, и кричал: – Помогите, помогите! Внезапно чужая большая машина дала полный газ и промчалась по Валлотштрассе. Между тем машина с застреленным человеком стояла у бордюра. В то же самое мгновение раздался треск, и яйцевидная граната взорвалась. Господин на заднем сиденье прямо-таки был подброшен взрывной волной, даже машина немного подпрыгнула. Мы все сразу подбежали и нашли на проезжей части девять патронных гильз и чеку от гранаты. Части деревянной обивки отлетели от машины. Шофер снова завел свою машину, одна девушка села в машину и подпирала бессознательного, пожалуй, уже мертвого господина, и на большой скорости машина поехала назад по дороге, по которой она приехала сюда, по Кёнигсаллее назад к полицейскому участку, который лежит дальше примерно на тридцать метров в конце Кёнигсаллее за Хундекеле».
quotationAuthor | 
pictureName | Rathenaus Wagen nach dem Attentat.jpg
effectMoney | 
effectJob | 
effectStatus | 
effectTrigger | 
