conditionTrigger | Ermordung-Rathenaus
conditiondDate | 
conditionPeriod | 
conditionDeath | 
conditionOccasion | 
conditionStatus | 
conditionKampfbund | 
conditionPolitical | 
conditionActivism | 
usedMax | 1
captionText | 
mainText | Строитель Кришбин как свидетель преступления так описал произошедшее в «Фоссише Цайтунг»:@@@«Примерно без пятнадцати одиннадцать утра две машины со стороны Хундекеле выехали вниз на Кёнигсаллее. В передней, более медленно движущейся машине, которая ехала, примерно, по середине улицы, на заднем сидении сидел господин; можно было точно узнать его, так как машина была открытой, также без летнего верха. В задней, тоже полностью открытой машине, шестиместном, окрашенном в темно-защитный цвет, мощном туристическом автомобиле, сидели два господина в длинных новых с иголочки кожаных пальто и в таких же кожаных шлемах, которые оставляли открытым только овал лица. Видно было, что они были абсолютно безбородые. Шоферские очки они тоже не носили. Кёнигсаллее в Груневальде – это сильно оживленная автодорога, так что там не обращают внимания на каждую машину, которая проезжает. Но мы все видели эту большую машину, потому что наше внимание привлекли элегантные кожаные вещи пассажиров. Большая машина обогнала меньшую машину, которая ехала более медленно, почти по рельсам трамвая, пожалуй, потому что хотела подготовиться к большому крутому повороту, на правой стороне улицы и сильно прижала ее налево, почти на нашу сторону улицы...».
quotationAuthor | 
pictureName | ba103344_Stelle in der Koenigsallee, an der Walter Rathenau ermordet wurde, 1922.jpg
effectMoney | 
effectJob | 
effectStatus | 
effectTrigger | Ermordung-Rathenaus-continue
