conditionTrigger | Frieden
conditiondDate | 
conditionPeriod | 
conditionDeath | 
conditionOccasion | 
conditionStatus | 
conditionKampfbund | 
conditionPolitical | 
conditionActivism | 
usedMax | 1
captionText | 10 ноября 1918 года
mainText | Туман колышется и дышит нам в лицо. И вдруг я сознаю, что бросило нас во власть величайшей тревоги: стало тихо. Совсем тихо.@@@Ни пулеметов, ни пальбы, ни разрывов, ни посвиста снарядов, — ничего, как есть ничего, ни одного выстрела, ни одного крика. Тихо, просто тихо.@@@Мы смотрим друг на друга, мы ничего не понимаем. С тех пор как мы на фронте, в первый раз так тихо. Мы беспокойно озираемся, мы хотим знать, что же это значит. Может быть, газ ползет? Но ветер дует в другую сторону, — он отогнал бы его. Готовится атака? Но тогда тишина только преждевременно выдала бы ее. Что же случилось? Граната в моей руке становится мокрой — я вспотел от тревоги. Кажется, нервы не выдержат, лопнут. Пять минут, десять минут...@@@— Уже четверть часа! — восклицает Валентин Лагер. В тумане голос его звучит точно из могилы. И все еще ничего — ни атаки, ни возникающих из мглы, прыгающих теней.@@@Пальцы разжимаются и сжимаются еще сильнее. Нет, этого не вынести больше! Мы так привыкли к гулу фронта, что теперь, когда он не давит на нас, ощущение такое, точно мы сейчас взорвемся, взлетим на воздух, как воздушные шары...@@@— Да ведь это мир, ребята! — говорит Вилли, и слова его — как взрыв бомбы.@@@Лица разглаживаются, движения становятся бесцельными и неуверенными. Мир? Не веря себе, мы смотрим друг на друга. Мир? Я выпускаю из рук гранату. Мир? Людвиг опять медленно ложится на свою плащ-палатку. Мир? У Бетке такие глаза, точно лицо его сейчас расколется. Мир? Веслинг стоит неподвижно, как дерево, и когда он поворачивает к нам голову, кажется, что он сейчас шагнет и будет безостановочно идти и идти, пока не придет домой.
quotationAuthor | Эрих Мария Ремарк «Возвращение»
pictureName | 
effectMoney | 
effectJob | 
effectStatus | 
effectTrigger | 11-November-1918
