conditionTrigger | Kapp-Luettwitz-1920
conditiondDate | 
conditionPeriod | 
conditionDeath | death-
conditionOccasion | 
conditionStatus | 
conditionKampfbund | 
conditionPolitical | 
conditionActivism | 
usedMax | 1
captionText | 
mainText | Здесь люди появлялись из темноты. Из гостиницы толпились люди, бормотание встречало нас, вопросы подскакивали в наши ряды. Я шел рядом с Хоффманном, и внезапно один господин приблизился к нам, что мы почти испугались, но господин поднял руки и спросил голосом, в котором дрожали возраст, алкоголь и радость. – Ребята, вы действительно вернете нам снова нашего императора? – Теперь Хоффманн действительно испугался и мог ответить только тогда, когда мы отошли уже на десяток шагов. – Нет, нет, не... – бормотал он и осматривался, как будто только что проснулся. Я тихо смеялся, между давившими проклятиями, но мне почти что было жаль, чтобы мы не могли сказать: да, мы снова вернем императора, так как тогда у нашего действия был бы, как минимум, хоть один смысл, все же – неужели у нашего марша все же не было смысла? На каких мыслях я там поймал себя? Это был этот проклятый город, который соблазнял к этому, эта проклятая, шипучая темнота, которая лишала нас уверенности. То, что казалось вчера нам еще ясным и нужным, исчезало здесь в сатанинском воздухе этого города, в этой отравляющей смеси из страха, ненависти, и тени приближающейся опасности. Вернуть императора? Нет. Все же, речь здесь шла о чем-то большем, чем о тихом мужчине в Доорне. Я пытался оживить в себе слова из программы Каппа. Все же, здесь, прямо здесь я должен был почувствовать, как зияет расселина. Не началось ли провозглашение с обороны? Все же, это определенно, не свидетельствовало о вере, твердой в своей силе. Этого было не достаточно для этой борьбы, это поблекло при первом испытании, будь оно даже этим поспешным маршем в пасть готового к прыжку города. Не это было тем, что диктовало нам дорогу, не слова программы. Смысл, смысл? В риске лежал смысл! Марш в неизвестность был для нас достаточным смыслом; так как он отвечал требованиям нашей крови. Мы не знаем, но как же мы сможем узнать это когда-нибудь иначе? То, что мы не знали, это доказывало, что наше действие, возможно, может быть преступлением, но никогда не может быть реакцией. Все равно, как бы ни выпали игральные кости, они должны быть брошены, и мы, мы держим их испытующе, мы еще трясем их в руке. Пение прекратилось, шепот в рядах всюду. Не только меня мучило сомнение. Падая со звезд, охватывал вопрос «почему».
quotationAuthor | Эрнст фон Заломон "Вне закона"
pictureName | 
effectMoney | 
effectJob | 
effectStatus | 
effectTrigger | 
