conditionTrigger | Matrosen
conditiondDate | 
conditionPeriod | 
conditionDeath | 
conditionOccasion | 
conditionStatus | 
conditionKampfbund | 
conditionPolitical | 
conditionActivism | 
usedMax | 1
captionText | 
mainText | … И я читал плакаты, красные плакаты с объявлениями Совета рабочих и солдатских депутатов, и чуял за звучащей мощностью их выражений, все же, их опасную, обворожительную энергию, за хвастливыми провозглашениями, все же, их горячую волю. Да, так как мне казалось, что лихорадочное ожидание, которое наложило свой отпечаток на город в течение первых дней революции, все больше уступало место тупому безразличию, мне хотелось эксцессов, и я почти боялся удовлетворения, которое я почувствовал, когда сообщалось, что тюрьмы подверглись штурму и были открыты, и что жирного посетителя кафе «Астория», который осмелился смеяться над демонстрацией инвалидов войны, избили едва ли не до смерти. Склады военной формы были разграблены, и матросы были предводителями, и многие девушки в городе, которые дружили с матросами, вдруг стали носить переделанные по нужде защитные шинели. Но на улицах постепенно вместо отчаянных матросских патрулей появлялись пожилые мужчины в черных сюртуках и с жесткими отложными воротничками, на рукавах которых красная повязка смотрелась достаточно странно, появлялись бледные солдаты из канцелярий, которые несли винтовку вместо портфеля, с дулом в грязи, как это стало обычаем; но то, что у матросов проявлялось как смелый признак сопротивления, было у них только выражением тайного страха, чтобы их не посчитали опасными. Матросы, разозлившись, ушли, они больше не были героями революции, они чувствовали себя обманутыми и проходили с замкнутыми лицами мимо солдат порядка, мимо часовых, которые всюду стояли важно и маленькими, блестящими холодом глазами следили за блуждающими матросами.
quotationAuthor | Эрнст фон Заломон "Вне закона"
pictureName | Ulmer Soldatenraete mit (vermutlich) roter Fahne auf dem Ulmer Bahnhofsplatz im November 1918.jpg
effectMoney | 
effectJob | 
effectStatus | 
effectTrigger | 
