conditionTrigger | Rathenau
conditiondDate | 
conditionPeriod | 
conditionDeath | 
conditionOccasion | 
conditionStatus | 
conditionKampfbund | 
conditionPolitical | 
conditionActivism | 
usedMax | 1
captionText | 
mainText | „то вы сделали? ¬ы убили из трусливой засады самого благородного. ¬ы взвалили самое чудовищное убийство на народ, которому этот человек всегда служил всеми фибрами своей души. ¬ы поразили народ, народ в его вер€щей массе в самое сердце. √нусное преступление убило не только человека –атенау, оно нанесло удар по всей √ермании. ќслепленные мальчишки, схватившиес€ за смертоносное оружие, ваши выстрелы убили одного человека, а ранили шестьдес€т миллионов. Ќарод с болью кричит о вашем безумии, о преступлении, жертвой которого пал сам его спаситель. ћало того, что весь мир с отвращением и ужасом отворачиваетс€ от страны, в которой мог в своей слепоте вырасти ваш дух и принести такие плоды. “о, что этот человек создал непосильным трудом, создал в жестком, посто€нном долгу, вы сразу разрушили вашим пагубным ужасным поступком. ¬ы обманули судьбу и лишили наш народ этого человека. ¬ы убили из-за угла голос разума, перекрыли путь, который он указывал. ¬ы неизлечимо потр€сли основу всей народной жизни: доверие. ¬ы поразили немецкое будущее и создание Ѕисмарка в его первом, милосердном зародыше. ¬ы не достойны были бы жить в тени этого человека. “аким же позорным, как ваше преступление, будет ваш конец, смерть не должна означать славу дл€ вас, и никакое наказание, которое постигнет вас, не будет достаточно т€желым.
quotationAuthor | –ечь рейхспрезидента ‘ридриха Ёберта на траурной церемонии в рейхстаге 27 июн€ 1922 года
pictureName | 640px-Bundesarchiv_Bild_183-Z1117-502,_Berlin,_Staatsakt_fuer_Walter_Rathenau.jpg
effectMoney | 
effectJob | 
effectStatus | 
effectTrigger | 
