conditionTrigger | S.S.-O.S.-continue
conditiondDate | 
conditionPeriod | 
conditionDeath | 
conditionOccasion | 
conditionStatus | 
conditionKampfbund | 
conditionPolitical | 
conditionActivism | 
usedMax | 1
captionText | 
mainText | Города, в которых группы были перебиты, в которых больше не сражался никто, французы передавали полякам. Города, в которых остатки групп, изможденные, с впалыми глазами, фанатично собирали вокруг себя еще оставшиеся силы, оставались и дальше под контролем «IAK», оставались освобожденными от повстанцев.@@@И так протянулась новая линия, названная линией Сфорцы, так как ее придумал итальянский комиссар Сфорца, она прошла сквозь угольный бассейн, сквозь провинцию, была подтверждена Лигой Наций, признана имперским правительством, и с ней с недовольным рычанием смирились Корфанты и поляки. И оказалось, что линия проходила почти точно так, как линия, образованная фронтом немецкой самообороны после штурма горы Аннаберг и после акции корпуса Россбаха. И оказалось, что Бойтен, что Гляйвиц, что Гинденбург остались немецкими, хотя даже сам Сфорца своей линией присоединил эти города к Польше, остались немецкими, так как там крошащиеся остатки немецких ударных групп еще удерживали эти города, удерживали вопреки измене, вопреки грызущей, напрасной надежде на снятие блокады немцами.
quotationAuthor | Эрнст фон Заломон «Вне закона»
pictureName | 90jahre-031.jpg
effectMoney | 
effectJob | 
effectStatus | 
effectTrigger | S.S.-O.S.-final
