conditionTrigger | S.S.-O.S.-final
conditiondDate | 
conditionPeriod | 
conditionDeath | 
conditionOccasion | 
conditionStatus | 
conditionKampfbund | 
conditionPolitical | 
conditionActivism | 
usedMax | 1
captionText | 
mainText | Пока в трактирах, в пивных залах всюду в Германии бесчисленные собрания протеста скорбели о судьбе Верхней Силезии, мы, чтобы спасти то, что еще можно было спасти, прятали, по крайней мере, то оружие, которое было у нас. Мы проносили его на запад через границу по тайным тропкам – все же прусская полиция смотрела на наше поведение более недружелюбным взглядом, чем «IAK». Мы закапывали его в лесах, давали его в руки верных немецкой родине, они с безобидным объяснением перевозили его в империю, в Рурскую область, в провинции, в которых, как мы чуяли, они должны были пригодиться.@@@Еще два месяца мы оставались в Верхней Силезии. Добровольные сельскохозяйственные рабочие, так мы назывались, – и в течение дня мы связывали снопы, закидывали их на качающиеся телеги, молотили и косили. Ночью мы провозили контрабандой оружие, прикрывали польскую границу.
quotationAuthor | Эрнст фон Заломон «Вне закона»
pictureName | 104rogierk16148grenzspendeoberschlesien.jpg
effectMoney | 
effectJob | 
effectStatus | 
effectTrigger | 
