conditionTrigger | SA-gegen-Schupo
conditiondDate | 
conditionPeriod | 
conditionDeath | 
conditionOccasion | 
conditionStatus | 
conditionKampfbund | 
conditionPolitical | 
conditionActivism | 
usedMax | 1
captionText | 
mainText | Далекий шум, кажется, мерцал, все больше людей встречались им, скоро они заполнили тротуар и улицу по всей ее ширине. Они разлетались по сторонам перед резко зазвучавшим сигналом пожарной машины, который каждые две секунды заполнял всю улицу до самого дальнего угла, крик наивысшей опасности, пока машина, своеобразный ядовитый кроваво-красный угрожающий глаз, на самой большой скорости проскакивала мимо, оставляя за собой толпу в широком вихре. Внезапно появилась также охранная полиция, в переулке, в который на короткое мгновение прижал Иве и Парайгата напирающий людской поток, стояли полицейские, в плотной сплоченности вокруг машины, с которой они еще продолжали спрыгивать, выстраивались в шеренги вдоль фасадов домов и по отдельности занимали посты на углах домов, перемешанная бурная масса полицейских киверов, неуклюжих шинелей и стволов карабинов. Иве двигался вперед, вся главная улица бурлила в движении, в молчаливой неразберихе бессвязно марширующих масс, которые с разным темпом стремились рассеяться. Тут было гораздо больше мужчин, чем женщин, много молодых людей без пальто и шляпы, с вызывающим взглядом, и когда отдельные люди, бодро болтая, двигались маленькими группками, перед углами, где дежурили полицейские, они внезапно замолкали и обходили их, делая небольшой крюк. Из широких, распахнувшихся ворот темного здания с погасшими окнами устремилась черная масса, в ней образовалось твердое ядро группы почти одинаковых типов, по очереди выстраивалось в шеренги, которые медленно придвигались, как раз к Иве. Иве не мог понять, были ли это коммунисты или национал-социалисты, на всех этих частых демонстрациях, казалось, всегда были одни и те же, молодые, несдержанные лица, те же самые худые и маленькие тела выросшей в голодное время войны молодежи, та же самая, напоминающая военную полевую форму, одежда из дешевой ткани. «Германия!», закричал один звонкий, срывающийся голос, и хор ответил грохочущим криком: «Проснись!» 
quotationAuthor | Эрнст фон Заломон "Город"
pictureName | Polizisten im Jahr 1933 in den Strassen Berlins.jpg
effectMoney | 
effectJob | 
effectStatus | 
effectTrigger | 
