conditionTrigger | Schupo-Attentat-Execution
conditiondDate | 
conditionPeriod | 
conditionDeath | 
conditionOccasion | 
conditionStatus | 
conditionKampfbund | 
conditionPolitical | 
conditionActivism | 
usedMax | 1
captionText | 
mainText | Председатель встал и спросил, есть ли в зале кто-то, кто мог бы что-то сказать в защиту подсудимого старшего лейтенанта Свиные щеки или что-то в защиту начальника полиции. Он констатировал, что никто ничего не сказал, и передал слово обвинителю. Обвинитель вышел к рампе, руки в карманах брюк. Стремление современной полиции в современном государстве, говорил он, по словам очень достойного уважения господина министра внутренних дел, состоит в том, чтобы добиться популярности. О средствах, которые применяет полиция для этого реализации этой прекрасной цели, свидетельствует то, что только что услышал и узнал суд безработных. Он далек от того, чтобы воспользоваться известным пафосом, который профессиональный создатель обвинений с такой полновесной страстностью для удовлетворения своих заказчиков и обманутой публики демонстрирует перед буржуазными судами. Здесь голые факты говорят сами за себя. Он добавил, что он сразу запротоколировал каждое из показаний и расследовал их. Ему не удалось обнаружить противоречия, и он должен был ограничиться тем, чтобы привести перед судом только пять случаев из большого количества подобных показаний. Он предъявляет обвинение против старшего лейтенанта Свиные щеки и против начальника полиции, который ответственен за все действия его подчиненного даже согласно буржуазной точке зрения. Он должен ещё раз подчеркнуть, что сознательный пролетариат отвергает любой индивидуальный террор, должен отвергать, но он никогда не может отказаться от того, чтобы привлечь врагов рабочего класса к суду. Он обвиняет старшего лейтенанта Свиные щеки и начальника полиции в убийстве и в контрреволюционных действиях. И он ходатайствует о смертной казни для обоих подсудимых. Председатель поднялся и сказал: Я прошу тех, кто согласен с заявлением обвинителя, поднять руку. С шумом поднялись руки. ... Подсудимые, сказал председатель, единогласно приговорены к смерти. Против суда безработных не бывает кассационных жалоб. Приговор будет приведен в исполнение в день социальной революции функционерами Советской Германии. Заседание закончено.
quotationAuthor | Эрнст фон Заломон «Город»
pictureName | 
effectMoney | 
effectJob | 
effectStatus | 
effectTrigger | 
