conditionTrigger | Schupo-Attentat-RFB-Trial
conditiondDate | 
conditionPeriod | 
conditionDeath | 
conditionOccasion | 
conditionStatus | 
conditionKampfbund | 
conditionPolitical | 
conditionActivism | 
usedMax | 1
captionText | 
mainText | Зал, который обычно мог служить для мелкобуржуазных праздников, был битком набит. Примерно тысяча безработных, мужчин и женщин, сидели и стояли в плотных группах, все же, не в том глухом ожидании, которое обычно создавало атмосферу на политических собраниях, а как бы в упрямой готовности к исполнению долга, который они сами взвалили на себя. На подиуме на узкой стороне напротив входа в помещение стояло под красным знаменем с серпом и молотом три стола, средний лицом к залу, два других под прямым углом к нему. Когда за этими столами опустились несколько человек, все голоса умолкли в зале, и все лица повернулись вперед. Четыре мужчины и одна женщина заняли место за одним боковым столом, за обоими другим столами сели по одному мужчине. Мужчина в середине поднялся и сказал: – Я открываю пролетарский суд безработных. Слово имеет обвинитель. Обвинитель вышел, руки в карманах брюк, на рампу. Он сказал: – К самым мерзким преступлениям капиталистической системы против рабочего класса и вместе с тем против развития человечества вообще относится полностью удавшаяся попытка сделать инструменты власти государства инструментами власти имущего класса. Тот, кто принимает участие в этой попытке, не может сомневаться при нынешнем состоянии пролетарского просвещения, в характере его действия. Рабочий класс противопоставляет оружию классовой юстиции оружие своей юстиции. Он судит преступников, и приговор будет приведен в исполнение исполнительными органами Советской Германии. Я вызываю для дачи показаний свидетеля № 1.
quotationAuthor | Эрнст фон Заломон «Город»
pictureName | 
effectMoney | 
effectJob | 
effectStatus | 
effectTrigger | 
