conditionTrigger | Schupo-Attentat-Zeugenaussage-3-final
conditiondDate | 
conditionPeriod | 
conditionDeath | 
conditionOccasion | 
conditionStatus | 
conditionKampfbund | 
conditionPolitical | 
conditionActivism | 
usedMax | 1
captionText | 
mainText | И тогда Генрих вырвался и хотел убежать. Тут офицер засвистел, и полицейские, которые еще были в здании, выбежали с карабинами в руках, и потом навели их на рабочих. Генрих уже пробежал некоторый отрезок пути, и они прицелились в него, нет! – кричал я им, – не надо!, тогда они меня ударили, и я услышал гром выстрелов, и Генрих тут же упал. Они совсем не пустили меня туда, где он лежал, и это был страшный беспорядок. Потом я узнал, что Генрих был мертв, и в отчете полиции стояло, что он, мол, был основным подстрекателем, и атаковал полицейских физически, и они стреляли в порядке самообороны. Но я ведь знаю, кто был подстрекателем, и как все произошло, и я пошел в полицию, но там они мне сказали, что я и сам под подозрением из-за этого бунта, и что я должен быть доволен, если против меня самого не предъявят обвинения. И вот так я прихожу к вам и спрашиваю: Разве это законность, что просто так человеческая жизнь ничего больше не стоит, и правда подавляется? И разве необходимо, чтобы сразу – бах! – стреляли, как будто бы ничего не было? И прилично ли верить больше шпиону, чем честному человеку? – Знает ли он офицера, – спросил обвинитель. – Нет, он не знает офицера. – Был ли это вот этот офицер, – спросил обвинитель и показал фотографию. – Да, это был он. – Это старший лейтенант Свиные щеки, – сказал обвинитель и велел мужчине сесть…
quotationAuthor | Эрнст фон Заломон «Город»
pictureName | 
effectMoney | 
effectJob | 
effectStatus | 
effectTrigger | 
