conditionTrigger | Schupo-Attentat-Zeugenaussage-4-continue
conditiondDate | 
conditionPeriod | 
conditionDeath | 
conditionOccasion | 
conditionStatus | 
conditionKampfbund | 
conditionPolitical | 
conditionActivism | 
usedMax | 1
captionText | 
mainText | ќн был всегда послушным, только всегда беспокойным. ¬ тот день, когда была стрельба, она запретила ему выходить из дома, и он сказал ей, мама, € должен идти к моим друзь€м, € не могу бросить их на произвол судьбы. Ќо она говорила ему, что это нехорошие друзь€, и просила его, и говорила ему, что она не хотела ко всем ее бедам потер€ть еще и его, так как у нее уже тогда было плохое предчувствие, она целый день не упускала его из виду. ќн был очень беспокоен и всегда бежал к окну и хотел также вывесить из окна красное знам€, но она заперла всю красную ткань. “огда он разозлилс€ и кричал, и она говорила ему: так это правильно, только ударь свою мать, потом он заплакал и ушЄл в свою комнатку. ќна сама бо€лась заснуть вечером, но утром он ушЄл. —оседка видела, как он уходил, очень рано, и она рассказывала настолько ужасные вещи, что она плакала и не знала, что ей делать, и только наде€лась, что всЄ прошло, и он не найдет своих друзей. “ак она выбежала вниз по лестнице на улицу, и там это снова началось. ¬се люди были ужасно возбуждены, и говорили, нужно убивать полицию как собак, так они бесчинствовали, и что ей нужно закрыть все окна, потому что они сразу стрел€ют по открытым окнам. » на углу уже послышались выстрелы. “ут все люди убежали, и пара мужчин подошла и сказала, что полици€ стрел€ет по стрелкам с крыши, и мой сын тоже был среди них. я была в полном отча€нии и хотела выбежать на улицу, тут € увидела, как мой мальчик бежит из-за угла, и € так обрадовалась, € позвала его, и быстро вошла в подъезд, и повернулась и смотрела, как он бежал ко мне. 
quotationAuthor | Ёрнст фон «аломон Ђ√ородї
pictureName | 
effectMoney | 
effectJob | 
effectStatus | 
effectTrigger | Schupo-Attentat-Zeugenaussage-4-final
