conditionTrigger | Schupo-Attentat-Zeugenaussage
conditiondDate | 
conditionPeriod | 
conditionDeath | 
conditionOccasion | 
conditionStatus | 
conditionKampfbund | 
conditionPolitical | 
conditionActivism | 
usedMax | 1
captionText | 
mainText | Она говорила тихо и повернувшись к обвинителю, так что он часто должен был повторять, что она говорила, и задавал снова и снова вопросы. Ей было около шестидесяти лет, и она выглядела так, как если бы она еще раз была беременна, с сухим телом и выпирающим животом... Ее сыну было семнадцать лет, и он не нашел работу, когда его время учебы закончилось. Но он не хотел просто так лежать дома, и потому он пошел к коммунистической молодежи, и каждую субботу выезжал за город на озера со своей палаткой, и она всегда боялась, что он там попадет в плохую компанию, но он всегда рассказывал об этом настолько воодушевленно, что она разрешила ему продолжать. Отец погиб на войне, и он был самым младшим, и у него не было много радости в его молодости. У нее был доход, это было трудно, но у нее была пенсия, и когда она обустроилась, дела более-менее шли. Но мальчик не был доволен, он повсюду спрашивал, не хотели ли они взять его на работу, но нет, нечего было делать. Она всегда боялась, что он бегает по трактирам, но нет, так он не делал, он в доме делал всю работу, и ходил в магазин, и мыл посуду, но все это не было работой для мальчика. Так он все больше был вместе с его друзьями, и однажды она увидела в его ящике стола револьвер. Она очень испугалась, и спросила его, и он сказал, что это на день расплаты, и смотрел при этом очень диким взглядом. Потому она испугалась, и забрала револьвер и отдала его её деверю, а тот засмеялся и сказал, что из этой штуки мальчишка не застрелит даже воробья, он совсем заржавел, и пружина сломана, и вернул мальчику револьвер, и сказал, чтобы тот не молол чепуху. И она ещё часто спрашивала мальчика, не занимается ли он какими-то глупостями со своими друзьями, и он открыто посмотрел на неё и сказал, что нет, и так как он всегда говорил правду, то она тоже поверила ему...
quotationAuthor | Эрнст фон Заломон «Город»
pictureName | 
effectMoney | 
effectJob | 
effectStatus | 
effectTrigger | Schupo-Attentat-Zeugenaussage-4-continue
