conditionTrigger | Schupo-Attentat-Zeugenaussage
conditiondDate | 
conditionPeriod | 
conditionDeath | 
conditionOccasion | 
conditionStatus | 
conditionKampfbund | 
conditionPolitical | 
conditionActivism | 
usedMax | 1
captionText | 
mainText | Это был бледный, худой человек, профессия: конторский служащий, уже три года без должности, женат, двое детей, ему 26 лет. Он говорил тихо и запинался. Дамы и господа, – сказал он, не «товарищи». Да, его выселили из его квартиры. Его пособия не хватало, чтобы платить арендную плату за жилье. Он надеялся, что благотворительная организация будет платить за жилье, так как его жена больна. Но он получил только то, что получают все другие. Болезнь легких, да, и поэтому он тоже не захотел выехать. Нет, нет, он писал домоуправлению. Кому принадлежит дом, спросил его обвинитель. Одной иностранной компании, она владеет несколькими кварталами. Там он ничего не мог сделать, говорил управляющий домом и подал в суд, требуя выселения. Но он не позаботился об этом, так как не мог поверить, что его так просто выставят на улицу, с больной женой и двумя детьми. Обвинитель спрашивал и спрашивал. Он говорил людям, которые выносили его мебель: Коллеги, почему вы делаете это? Тут полицейский сказал ему, что лучше бы было ему заткнуться. Но куда же ему идти, ради Бога, с больной женой и двумя детьми? Это его не касается, сказал полицейский, и грузчики вы несли мебель на улицу. Тогда он пошел в трактир, чтобы позвонить в полицию. Трубку поднял один офицер. Он не знал, кто был этот офицер, но это был не их начальник участка, того он хорошо знает, потому что ему часто приходилось там у него подписывать какие-то документы. Куда же я должен идти, ради Бога, с больной женой и двумя детьми? – Об этом ему следовало подумать раньше. Выселение будет исполнено, и так это и будет. И потом офицер повесил трубку. Тогда он быстро рассказал эту историю своим друзьям, которые были в трактире, и они все пошли в его квартиру...
quotationAuthor | Эрнст фон Заломон «Город»
pictureName | 
effectMoney | 
effectJob | 
effectStatus | 
effectTrigger | Schupo-Attentat-Zeugenaussage-1-continue
