conditionTrigger | Soldaten
conditiondDate | 
conditionPeriod | 
conditionDeath | 
conditionOccasion | 
conditionStatus | 
conditionKampfbund | 
conditionPolitical | conservative+ nationalist+
conditionActivism | 
usedMax | 1
captionText | 
mainText | ... О, Боже, как же они выглядели, как выглядели эти мужчины! Что это было, что там маршировало? Эти истощенные, неподвижные лица под касками, эти костлявые члены, эти порванные, пыльные мундиры! Шаг за шагом маршировали они, и вокруг них была как бы бескрайняя пустота. Да, это было так, как будто бы они создавали вокруг себя запретный круг, магический круг, в котором опасные силы, невидимые глазу посторонних, вели свое тайное существование. @@@Несли ли они еще, сжатые в клубок бурлящих видений, смуту бушующих битв в своем мозгу, как они еще несли грязь и пыль разорванных снарядами полей на своих мундирах? Это едва ли можно было вынести. Они маршировали, как будто бы они посланники смерти, ужаса, самого смертельного, самого одинокого, самого ледяного холода. Здесь была, все же, их родина, здесь ждало их тепло, счастье, но почему они молчали, почему они не кричали, почему они не ликовали, почему они не смеялись?
quotationAuthor | Эрнст фон Заломон "Вне закона"
pictureName | Bundesarchiv_Bild_183-R34275,_Berlin,_Rueckkehr_deutscher_Truppen.jpg
effectMoney | 
effectJob | 
effectStatus | 
effectTrigger | 
