conditionTrigger | Train-continue
conditiondDate | 
conditionPeriod | 
conditionDeath | 
conditionOccasion | 
conditionStatus | 
conditionKampfbund | 
conditionPolitical | 
conditionActivism | 
usedMax | 1
captionText | 
mainText | ... В уборную втиснулось пять человек. Один уселся в окне, свесив зад наружу.@@@Поезд трогается. Кое-кто, не удержавшись, падает. Двое попадают под колеса. Их уносят. На их место тотчас же прыгают другие. На подножках люди. Толчея не прекращается и на ходу.@@@Кто-то цепляется за ручку двери. Дверь раскрывается, и человек повисает в воздухе, уцепившись за раму окна. Вилли высовывается, хватает его сзади за шиворот и втаскивает внутрь.@@@Ночью наш вагон несет первые потери. Поезд проходил через низкий туннель. Несколько человек, из тех, что были на крыше, раздавлены и сметены начисто. Их соседи видели катастрофу, но никак не могли остановить поезд. Солдат, устроившийся в окне уборной, уснул и вывалился на ходу. Во избежание новых жертв крыши оборудуются подпорками из чурок, штыков и шашек, переплетенных веревками. Кроме того, устанавливаются дежурные посты: их задача — предупреждать об опасности.@@@Мы спим, спим без конца, лежа, стоя, сидя, опустившись на корточки, скрючившись на ранцах и узелках. Поезд грохочет. Дома, деревья, сады; люди — они машут нам; шествия, красные знамена, патрули на вокзалах, крик, экстренные выпуски газет, революция... Нет, сначала дайте нам выспаться, а потом уж все остальное. Только теперь по-настоящему чувствуешь, как страшно устал за все эти годы.@@@Вечер. Горит коптилка. Поезд медленно тащится...
quotationAuthor | Эрих Мария Ремарк «Возвращение»
pictureName | 
effectMoney | 
effectJob | 
effectStatus | 
effectTrigger | 
