conditionTrigger | Train
conditiondDate | 
conditionPeriod | 
conditionDeath | 
conditionOccasion | 
conditionStatus | 
conditionKampfbund | 
conditionPolitical | 
conditionActivism | 
usedMax | 1
captionText | 
mainText | ... Следующий поезд приходит на второй день к полудню. Это товарный состав, он везет слепых лошадей с фронта. Вывороченные белки животных сплошь в синеватых и багровых жилках. Лошади стоят неподвижно, вытянув шеи, и только в дрожащих ноздрях теплится жизнь.@@@Днем вывешивается объявление, что поездов сегодня больше не будет. Никто не трогается с места. Солдат не верит объявлениям. И в самом деле: вскоре показывается поезд. С первого взгляда ясно, что он нам подходит — поезд полон разве что наполовину.@@@Вокзальные своды сотрясаются от грохота: наскоро собрав пожитки, бешеным потоком ринулись из зала ожидания еще не расформированные части и врезались в гущу ожидающих на перроне одиночек. Все это сплетается в какой-то бешеный клубок.@@@Поезд медленно подходит. Одно окно открыто. Мы подбрасываем Альберта Троске, самого легкого из нас, и он, как обезьяна, на ходу карабкается в вагон. В ту же мину. ту люди облепляют двери. Окна большей частью закрыты. Но вот зазвенели стекла под ружейными прикладами тех, кто любой ценой, хотя бы с израненными руками и ногами, решил попасть в поезд. Бросая одеяла поверх осколков, они берут поезд на абордаж.@@@Состав останавливается. Промчавшись по коридорам вагонов, Альберт рывком опускает перед нами окно. Тьяден с собакой влезают первыми, за ними, с помощью Вилли, — Бетке и Козоле. Все трое тотчас же бросаются к дверям, чтобы блокировать купе с обеих сторон. Пожитки наши летят одновременно с Людвигом и Леддерхозе, за ними карабкается Валентин, затем я и Карл Брегер; последним прыгает Вилли, предварительно здорово поработав локтями и кулаками.@@@— Все здесь? — орет Козоле у дверей. Снаружи отчаянно ломятся.@@@— Все! — ревет Вилли.@@@Пулей устремляются Бетке, Козоле и Тьяден на свои места, и люди стремительным потоком врываются в вагон, карабкаются в багажные сетки, заполняют каждый сантиметр.@@@Паровоз тоже атакуют. На буферах уже сидят. На крышах вагонов — полным-полно.@@@— Слезайте! Вам там снесет черепа! — кричит машинист.@@@— Заткнись! Без тебя знаем!.. — раздается в ответ. ...
quotationAuthor | Эрих Мария Ремарк «Возвращение»
pictureName | 
effectMoney | 
effectJob | 
effectStatus | 
effectTrigger | Train-continue
