conditionTrigger | epigraph
conditiondDate | 
conditionPeriod | 
conditionDeath | 
conditionOccasion | 
conditionStatus | 
conditionKampfbund | 
conditionPolitical | 
conditionActivism | 
usedMax | 1
captionText | 1914-1918
mainText | ћы убивали людей и вели войну; нам об этом не забыть, потому что находимс€ в возрасте, когда мысли и действи€ имели крепчайшую св€зь друг с другом. ћы не лицемеры, не робкого дес€тка, мы не бюргеры, мы смотрим в оба и не закрываем глаза. ћы ничего не оправдываем необходимостью, идеей, –одиной Ч мы боролись с людьми и убивали их, людей, которых не знали и которые нам ничего не сделали; что же произойдет, когда мы вернемс€ к прежним взаимоотношени€м и будем противосто€ть люд€м, которые нам мешают, преп€тствуют?@@@„то нам делать с теми цел€ми, которые нам предлагают? Ћишь воспоминани€ и мои дни отпуска убедили мен€ в том, что двойственный, искусственный, придуманный пор€док, называемый Ђобществомї, не может нас успокоить и не даст нам ничего. ћы останемс€ в изол€ции и будем расти, мы будем пытатьс€; кто-то будет тихим, а кто-то не захочет расстатьс€ с оружием.
quotationAuthor | Ёрих ћари€ –емарк ЂЌа «ападном фронте без переменї (из невошедшего в окончательную версию романа)
pictureName | Sturmtruppe geht unter Gas vor_Otto_Dix_1924.jpeg
effectMoney | 
effectJob | 
effectStatus | 
effectTrigger | 
