conditionTrigger | Beat-Kozi-Klassenkampf
conditiondDate | 
conditionPeriod | 
conditionOccasion | 
conditionStatus | 
conditionKampfbund | 
conditionPolitical | 
conditionActivism | 
usedMax | 1
captionText | 
mainText | Цугфюрер Лёве от неожиданности даже сделал шаг назад: «Ого! Так Вы у нас, оказывается, «красный», да?»
pictureName | stahlhelmloewe_Kamerad Loewe.jpg
answerText | Ни в коем случае. Но дело это плохо пахнет, а я своей честью дорожу.#Это был просто вопрос, товарищ Вольфе, всего лишь вопрос. Подыщите, всё же, кого-то другого для этого «деликатного дела». Извините.#Если отказ быть бандитом на службе у фабрикантов – признак «красноты», то тогда да, я «красный». Прощайте, «товарищ» Вольфе, я понял, что в «Шта» мне делать нечего.##
answerConditionPolitical | 
answerConditionKampfbund | 
effectPolitical | conservative+1##socialist+2##
effectKampfbund | #STA-1#STA-3##
effectMortality | 
effectCustody | 
effectCustodyTerm | 
effectKampfbundJoinOrLeft | ##STA-##
effectMoney | 
effectJob | 
effectOccasion | 
effectStatus | 
effectTrigger | Beat-Kozi-Refusal#Beat-Kozi-Refusal#Beat-Kozi-Abandon-STA##
