conditionTrigger | Braun-Hellpach-Marx
conditiondDate | 
conditionPeriod | 
conditionOccasion | 
conditionStatus | 
conditionKampfbund | 
conditionPolitical | 
conditionActivism | 
usedMax | 1
captionText | 29 марта 1925 года
mainText | За кого из кандидатов "веймарской коалиции" Вы проголосуете в первом туре выборов рейхспрезидента?
pictureName | 2240-Q-10.jpg
answerText | Отто Браун (СДПГ)#Вилли Гельпах (НДП)#Вильгельм Маркс (Центр)#Ни за кого, передумал голосовать.#
answerConditionPolitical | 
answerConditionKampfbund | 
effectPolitical | socialist+1 republican+1#republican+2#republican+1 conservative+1##
effectKampfbund | 
effectMortality | 
effectCustody | 
effectCustodyTerm | 
effectKampfbundJoinOrLeft | 
effectMoney | 
effectJob | 
effectOccasion | 
effectStatus | 
effectTrigger | Reichspraesidentenwahl-1925-1#Reichspraesidentenwahl-1925-1#Reichspraesidentenwahl-1925-1#Reichspraesidentenwahl-1925-1#
