conditionTrigger | RB-answer-Bonzen
conditiondDate | 
conditionPeriod | 
conditionOccasion | 
conditionStatus | 
conditionKampfbund | 
conditionPolitical | 
conditionActivism | 
usedMax | 1
captionText | 
mainText | Вожак штурмовиков продолжал гнуть свою линию: «Молчишь? Понимаешь, значит, о чём я? Вот скажи мне: на кой тебе сдались эти партийные бонзы, зачем ты защищаешь этот трусливый подлый гнилой режим? Режим бюрократов, коррупционеров, «барматов» и «вайсов»? Если я рискую головой в уличных боях, то я делаю это для приближения национальной революции, а ради чего получаешь по голове ты?»
pictureName | SA-in-Rothenburg-vor-1933_resized.jpg
answerText | Вы представляете собой дикие силы хаоса, а я борюсь против хаоса.#Я защищаю не «барматов» и «вайсов», а немецкое государства от развала и кровавого хаоса.#Ради того, чтобы вы, чёртовы погромщики, не пришли к власти.##
answerConditionPolitical | 
answerConditionKampfbund | 
effectPolitical | republican+1#nationalist+1###
effectKampfbund | ##RB+3##
effectMortality | ##0,3##
effectCustody | 
effectCustodyTerm | 
effectKampfbundJoinOrLeft | 
effectMoney | 
effectJob | 
effectOccasion | 
effectStatus | 
effectTrigger | RB-answer-Chaos#RB-answer-Chaos#RB-answer-Fight##
