conditionTrigger | SA-kill-RB-Jude-Legality
conditiondDate | 
conditionPeriod | 
conditionOccasion | 
conditionStatus | 
conditionKampfbund | 
conditionPolitical | 
conditionActivism | 
usedMax | 1
captionText | 
mainText | Штурмфюрер Хайнес закатил глаза к небу: «Ну да, легальность. Но это же сугубо тактика, Вы понимаете… Конечно, Вы не должны попасться, официально мы таким не занимаемся, но борьба идёт, мой дорогой, а на войне, как Вы сами прекрасно знаете, надо убивать и умирать».
pictureName | 3208c0110f13e3fa55b75631e2e794b8_Edmund Heines.jpg
answerText | Хорошо, я сделаю это.#Нет, на преступление я не пойду.###
answerConditionPolitical | 
answerConditionKampfbund | 
effectPolitical | 
effectKampfbund | SA+3#SA-2###
effectMortality | 0,2####
effectCustody | 
effectCustodyTerm | 
effectKampfbundJoinOrLeft | 
effectMoney | 
effectJob | 
effectOccasion | 
effectStatus | 
effectTrigger | SA-kill-RB-Jude-Consist#SA-kill-RB-Jude-Refusal###
