conditionTrigger | SA-kill-RB-Jude-Questions
conditiondDate | 
conditionPeriod | 
conditionOccasion | 
conditionStatus | 
conditionKampfbund | 
conditionPolitical | 
conditionActivism | 
usedMax | 1
captionText | 
mainText | Штурмфюрер Хайнес пожал плечами: «Конечно, нет. Может, он, может, кто-то другой. Но если уж выбирать жертву для слепой расплаты, то пусть это будет еврей, а не немец, пусть даже «соци»? Вы согласны со мной?»
pictureName | 3208c0110f13e3fa55b75631e2e794b8_Edmund Heines.jpg
answerText | Да, можете на меня рассчитывать.#Нет, это убийство. Извините.###
answerConditionPolitical | 
answerConditionKampfbund | 
effectPolitical | 
effectKampfbund | SA+3#SA-2###
effectMortality | 0,2####
effectCustody | 
effectCustodyTerm | 
effectKampfbundJoinOrLeft | 
effectMoney | 
effectJob | 
effectOccasion | 
effectStatus | 
effectTrigger | SA-kill-RB-Jude-Consist#SA-kill-RB-Jude-Refusal###
