conditionTrigger | Schufo
conditiondDate | 
conditionPeriod | 
conditionOccasion | 
conditionStatus | 
conditionKampfbund | RB+
conditionPolitical | 
conditionActivism | 
usedMax | 1
captionText | 
mainText | Решение о создании "шуфо" не стало неожиданностью для "рейхсбаннерманнов". Но теперь каждому предстояло определиться, в том числе и Вам.@@@Вступите ли Вы в ряды "шуфо" или же предпочтёте работу на политическом уровне в рядах "штафо"?
pictureName | 549546627_Members of the Schufo of the Reichsbanner muster at Magdeburg with raised.jpg
answerText | Вступить в "шуфо"? Конечно! Ситуация всё накаляется, и республике нужна надёжная защита против радикалов.#По-моему, мы всё больше скатываемся к гражданской войне. Зачем нам создавать отряды боевиков по подобию "наци" и "коци"? Для поддержания порядка достаточно полиции.#Насилием мы мало чего добьёмся. Нужно усилить агитацию, больше работать на политическом уровне. Думаю, больше пользы я принесу в рядах "штафо".##
answerConditionPolitical | 
answerConditionKampfbund | 
effectPolitical | republican+3#republican+1#republican+2##
effectKampfbund | RB+3#RB-1#RB+1##
effectMortality | 
effectCustody | 
effectCustodyTerm | 
effectKampfbundJoinOrLeft | 
effectMoney | 
effectJob | 
effectOccasion | 
effectStatus | Schufo+####
effectTrigger | 
